ZONE,DIST,SDIST,COUNTY,TOTHH,HHPOP,TOTPOP,EMPRES,SFHH,MFHH,HH1,HH2,HH3,HH4,INC1,INC2,INC3,INC4,MHHINC,TACRES,RESACRE,CIACRE,Z2SHARE,TEMP,RETEMP,SEREMP,OTHEMP,AGEMP,MANEMP,WHOEMP,AGE0004,AGE0519,AGE2044,AGE4564,AGE65,AGE0513,AGE1417,AGE1824,ESENR,HSENR,COLLENR,COLLENRF,COLLENRP,TAZ1454
307,12,12,3,611,2351,2355,1213,330,282,159,185,175,93,14480,34319,54559,111726,46809,86,33,31,0.109,545,101,219,34,3,188,0,201,577,952,474,151,398,176,162,0,0,0,0,0,617
308,12,12,3,593,2019,2027,1119,551,42,29,96,217,253,17264,34651,55391,108198,72658,154,64,62,0.122,599,169,330,67,3,19,11,119,431,693,589,194,250,104,150,0,0,0,0,0,620
309,12,12,3,107,391,395,192,103,3,13,19,39,36,14866,32679,56632,119301,68772,2122,249,7,0.119,96,45,6,11,2,32,0,14,54,103,181,43,44,39,44,1086,0,0,0,0,618
310,12,12,3,41,138,139,74,35,5,6,8,10,18,17621,34299,55718,126159,78338,3009,43,18,0.111,12,0,2,0,10,0,0,7,28,47,37,21,15,10,11,0,0,0,0,0,615
311,12,12,3,390,1332,1333,708,339,51,48,72,96,173,17621,34299,55718,126159,78338,247,159,1,0.111,150,98,51,2,0,0,0,30,269,343,527,166,176,87,113,0,0,0,0,0,615
312,12,12,3,2,4,10,2,0,2,0,0,0,0,16102,32551,55940,102623,48999,203,0,201,0.057,2266,49,376,427,0,1216,198,2,0,0,2,6,0,0,0,0,0,0,0,0,608
313,12,12,3,17,48,81,10,13,4,3,4,4,3,16102,32551,55940,102623,48987,12,4,8,0.057,372,26,216,42,0,74,13,4,1,73,1,0,0,0,7,0,0,0,0,0,607
314,12,12,3,10,29,40,6,3,7,1,3,3,1,16102,32551,55940,102623,48987,16,1,15,0.057,333,29,182,56,0,53,13,4,6,20,7,1,0,0,9,0,0,0,0,0,607
315,12,12,3,586,1617,2303,350,193,393,116,184,183,103,16102,32551,55940,102623,48987,125,14,87,0.057,26,0,0,0,0,26,0,109,168,1642,364,22,62,22,264,0,0,0,0,0,607
316,12,12,3,0,0,0,0,0,0,0,0,0,0,16102,32551,55940,102623,48999,97,0,93,0.057,1796,50,450,428,0,755,114,0,0,0,0,0,0,0,0,0,0,0,0,0,608
317,12,12,3,255,779,729,407,22,233,42,50,97,67,15507,34241,55773,105271,59925,96,3,90,0.138,984,57,185,220,0,452,71,94,189,0,189,258,175,75,183,0,0,0,0,0,606
318,12,12,3,507,1830,1852,912,482,25,74,82,130,220,13523,34921,57764,114253,72160,172,106,41,0.132,76,1,12,63,0,0,0,103,368,590,574,218,213,96,148,818,0,0,0,0,614
319,12,12,3,1159,3244,3088,692,231,928,237,363,358,199,16102,32551,55940,102623,48999,90,26,64,0.057,665,29,11,158,2,401,64,262,771,1190,526,340,47,14,47,0,0,0,0,0,608
320,12,12,3,237,827,841,424,205,31,52,44,75,68,14673,34343,55606,115944,59819,88,52,26,0.147,932,21,186,31,1,523,169,46,151,270,250,123,115,44,86,0,0,0,0,0,611
321,12,12,3,357,1248,1266,640,310,47,78,66,112,101,14673,34343,55606,115944,59819,103,68,27,0.147,158,49,39,24,1,33,11,86,244,446,355,136,138,76,104,558,0,0,0,0,611
322,12,12,3,3301,11083,11277,5256,2994,307,479,637,1254,930,15507,34241,55773,105271,59925,263,199,28,0.138,265,22,58,60,0,106,20,631,2063,4157,3113,1315,1573,698,695,438,0,0,0,0,606
323,10,10,3,699,1944,1963,845,633,66,97,99,104,398,11632,33665,55686,158527,105128,517,491,14,0.219,350,83,216,21,3,24,3,59,451,328,726,399,246,138,63,559,0,0,0,0,510
324,10,10,3,280,776,782,338,253,27,39,39,41,159,11632,33665,55686,158527,105128,259,255,2,0.219,209,82,55,44,3,17,7,26,156,146,290,165,95,50,62,0,0,0,0,0,510
325,14,14,3,5,17,18,8,2,2,2,1,1,1,13466,34138,55397,116452,50326,33,7,5,0.131,186,0,181,4,1,0,0,2,6,0,7,3,5,3,5,387,0,0,0,0,702
326,14,14,3,0,0,0,0,0,0,0,0,0,0,13995,32975,56560,123195,69416,27,0,23,0.179,402,85,219,41,20,34,3,0,0,0,0,0,0,0,0,0,0,0,0,0,701
327,14,14,3,258,784,811,331,179,79,87,45,67,59,14297,34427,54118,122199,53111,125,77,2,0.133,93,0,55,37,0,1,0,42,219,219,228,105,103,49,72,0,0,0,0,0,700
328,14,14,3,42,134,173,60,24,19,14,10,10,9,13466,34138,55397,116452,50326,34,17,3,0.131,46,1,32,10,1,2,0,8,31,15,46,74,24,10,15,13,0,0,0,0,702
329,14,14,3,100,307,308,152,91,8,13,10,21,54,12327,33565,54456,132768,89185,1329,159,1,0.112,59,0,0,35,12,12,0,8,54,55,144,47,51,23,23,0,0,0,0,0,703
330,14,14,3,196,624,624,279,119,79,64,44,47,43,13466,34138,55397,116452,50326,63,41,5,0.131,196,14,113,66,1,2,0,52,141,242,138,51,129,77,73,220,0,0,0,0,702
331,14,14,3,98,331,333,146,90,8,21,19,20,37,14338,35216,56756,132246,72357,4497,240,3,0.154,98,8,78,0,10,2,0,21,46,90,107,69,43,20,18,0,0,0,0,0,713
332,14,14,3,462,1405,1414,592,321,142,156,81,120,107,14297,34427,54118,122199,53111,717,174,110,0.133,2686,346,1192,293,7,716,132,66,276,355,417,300,298,130,122,9,685,0,0,0,700
333,14,14,3,589,1867,1938,875,577,12,38,50,177,324,16917,35880,57129,131105,93335,892,277,40,0.111,977,7,557,198,64,116,36,136,486,571,590,154,210,88,72,0,1840,0,0,0,698
334,14,14,3,371,1179,1188,552,365,6,23,32,111,204,16917,35880,57129,131105,93335,411,139,27,0.111,121,105,11,2,2,0,2,85,317,339,361,88,123,70,54,0,0,0,0,0,698
335,14,14,3,448,1386,1396,684,412,36,60,48,94,244,12327,33565,54456,132768,89185,325,98,10,0.112,643,97,499,35,2,7,2,112,306,431,446,103,165,74,57,375,0,0,0,0,703
336,14,14,3,444,1349,1357,569,306,137,149,77,115,103,14297,34427,54118,122199,53111,502,48,171,0.133,3970,839,1464,316,17,1129,204,157,327,546,269,59,161,59,58,1303,577,0,0,0,700
337,14,14,3,1395,3976,4010,1906,1051,344,263,216,402,514,13995,32975,56560,123195,69416,480,363,24,0.179,890,73,564,162,37,48,6,267,942,1205,1221,373,529,233,201,26,0,0,0,0,701
338,14,14,3,942,2989,3001,1401,926,17,61,83,283,518,16917,35880,57129,131105,93335,619,239,19,0.111,441,11,252,85,56,26,11,175,794,858,901,273,402,302,252,634,0,0,0,0,698
339,14,14,3,5,17,17,7,4,2,2,1,2,1,14297,34427,54118,122199,53111,25,2,4,0.133,7,2,4,0,0,1,0,0,4,1,7,4,2,1,1,0,0,0,0,0,700
340,14,14,3,79,252,253,112,47,32,26,18,18,18,13466,34138,55397,116452,50326,51,11,16,0.131,635,35,371,128,1,91,9,21,59,92,57,24,32,15,26,0,99,0,0,0,702
341,14,14,3,114,361,367,162,67,47,37,25,26,25,13466,34138,55397,116452,50326,43,15,10,0.131,540,65,382,60,2,29,2,29,82,145,83,26,71,33,54,0,0,0,0,0,702
342,14,14,3,270,857,908,383,162,107,88,60,63,58,13466,34138,55397,116452,50326,85,43,8,0.131,540,29,302,44,148,16,1,71,159,323,178,177,157,62,70,0,0,0,0,0,702
343,14,14,3,378,1203,1208,538,227,151,124,84,89,82,13466,34138,55397,116452,50326,90,77,6,0.131,43,4,22,5,1,10,1,116,320,465,241,65,171,73,85,95,0,0,0,0,702
344,14,14,3,798,2533,2540,1135,484,314,260,177,188,174,13466,34138,55397,116452,50326,549,393,11,0.131,739,70,133,526,1,9,0,174,506,762,758,339,414,225,284,310,0,0,0,0,702
345,14,14,3,173,550,552,246,105,68,56,39,40,38,13466,34138,55397,116452,50326,65,34,23,0.131,398,64,279,19,1,35,1,56,127,228,100,42,68,33,52,0,0,0,0,0,702
346,14,14,3,876,2780,2792,1246,529,347,285,195,206,189,13466,34138,55397,116452,50326,551,278,51,0.131,440,131,257,21,1,27,3,256,676,1005,651,203,462,196,196,0,0,0,0,0,702
347,14,14,3,274,827,833,418,256,18,40,26,64,143,17228,34755,54132,121868,82419,656,222,8,0.115,551,69,444,32,4,1,1,65,204,224,240,101,95,45,55,893,0,0,0,0,699
348,14,14,3,971,2951,2967,1245,672,299,326,169,251,224,14297,34427,54118,122199,53111,435,137,72,0.133,1544,379,485,171,3,410,96,261,716,1046,661,285,441,162,226,548,0,0,0,0,700
349,14,14,3,84,254,255,107,58,25,28,14,21,19,14297,34427,54118,122199,53111,109,12,43,0.133,1365,144,552,162,12,421,74,25,74,104,44,9,50,21,24,0,0,0,0,0,700
350,14,14,3,39,120,122,50,27,12,13,7,10,9,14297,34427,54118,122199,53111,234,67,13,0.133,45,8,22,1,3,12,0,9,29,47,24,14,24,13,12,0,0,0,0,0,700
351,14,14,3,1015,2893,2901,1386,772,244,193,157,291,373,13995,32975,56560,123195,69416,812,489,2,0.179,137,0,1,128,6,1,0,139,571,623,860,709,466,251,150,341,0,0,0,0,701
352,14,14,3,1019,3231,3254,1515,1001,19,65,89,307,558,16917,35880,57129,131105,93335,1776,783,2,0.111,8,0,0,0,6,0,2,127,646,738,1243,500,559,201,167,0,0,0,0,0,698
353,14,14,3,1196,3611,3638,1829,1118,78,175,115,278,627,17228,34755,54132,121868,82419,903,380,2,0.115,83,2,12,58,4,1,6,219,778,904,1328,408,541,239,297,528,0,0,0,0,699
354,14,14,3,197,601,609,252,138,60,66,35,51,45,14297,34427,54118,122199,53111,232,16,39,0.133,1096,130,449,113,14,332,57,37,158,207,156,51,168,58,30,0,0,0,0,0,700
355,14,14,3,312,963,970,475,287,24,43,34,65,170,12327,33565,54456,132768,89185,822,487,1,0.112,54,0,0,35,7,12,0,36,191,203,402,136,160,65,38,0,0,0,0,0,703
356,14,14,3,197,606,609,300,182,15,28,21,40,107,12327,33565,54456,132768,89185,1149,267,1,0.112,54,0,0,35,7,12,0,24,116,131,243,93,67,54,54,0,0,0,0,0,703
357,14,14,3,453,1401,1408,691,418,35,62,49,95,247,12327,33565,54456,132768,89185,463,256,1,0.112,94,0,5,70,7,12,0,67,303,344,516,177,227,99,77,90,0,0,0,0,703
358,14,14,3,967,2939,2950,1240,674,293,324,168,251,223,14297,34427,54118,122199,53111,321,194,11,0.133,130,66,50,11,3,0,0,195,771,895,861,228,603,151,219,566,0,0,0,0,700
359,9,9,3,198,460,460,258,47,151,35,29,64,68,13881,33816,55945,114813,65600,58,8,42,0.079,533,19,182,57,12,229,34,29,71,35,265,60,10,6,14,2528,0,0,0,0,397
360,8,8,3,205,419,422,263,67,138,42,48,57,57,13582,33675,54391,114803,57764,14,13,1,0.148,5,0,0,0,5,0,0,12,15,210,128,56,53,17,25,0,0,0,0,0,377
361,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,151,0,133,0.104,3277,99,502,406,0,2009,261,0,0,0,0,0,0,0,0,0,0,0,0,0,399
362,8,8,3,1249,3063,3075,1698,331,917,413,237,320,279,12874,33617,54488,125480,52664,145,34,113,0.144,3276,641,1172,1145,3,292,22,196,442,1530,564,342,323,103,256,0,0,0,0,0,372
363,8,8,3,773,1560,1560,990,151,621,244,170,211,145,13653,33252,54154,110410,47508,72,38,31,0.111,585,89,330,134,4,18,10,68,219,702,404,168,146,40,157,390,0,0,0,0,365
364,8,8,3,980,1976,1977,1255,186,793,308,217,269,186,13653,33252,54154,110410,47508,87,75,9,0.111,188,21,133,21,4,8,1,128,272,882,512,183,126,49,120,0,0,0,0,0,365
365,8,8,3,475,1178,1204,602,342,133,113,91,97,174,13551,32972,56246,122936,66164,120,93,3,0.219,10,0,0,9,1,0,0,106,217,311,347,222,106,44,52,0,0,0,0,0,382
366,8,8,3,626,1553,1561,795,450,176,149,119,128,231,13551,32972,56246,122936,66164,103,75,27,0.219,466,73,336,35,1,0,21,125,220,599,417,200,149,51,56,1220,0,0,0,0,382
367,8,8,3,287,620,623,361,143,145,66,65,71,84,13965,34518,55509,112898,58043,40,27,13,0.170,312,46,66,159,0,12,30,33,60,266,190,75,52,22,36,0,0,0,0,0,390
368,9,9,3,0,0,0,0,0,0,0,0,0,0,14180,31209,53133,111024,34511,306,0,10,0.193,1389,13,166,254,10,825,121,0,0,0,0,0,0,0,0,0,0,0,0,0,401
369,9,9,3,10,24,24,16,0,10,4,3,2,1,14180,31209,53133,111024,34511,3193,6,304,0.193,1955,85,330,329,8,1079,124,2,5,7,4,7,3,1,3,0,0,0,0,0,401
370,9,9,3,12,29,29,19,0,12,5,4,2,1,14180,31209,53133,111024,34511,365,2,286,0.193,3126,158,711,547,11,1529,170,1,5,10,9,5,9,0,0,0,0,0,0,0,401
371,8,8,3,148,302,304,203,56,92,27,30,45,45,11612,33756,53467,128824,64547,25,19,6,0.111,239,46,133,45,2,7,6,15,48,115,91,35,19,7,17,0,0,0,0,0,378
372,8,8,3,150,324,325,188,74,76,35,35,38,44,13965,34518,55509,112898,58043,27,20,7,0.170,44,19,17,8,0,0,0,28,45,123,94,36,30,10,18,0,0,0,0,0,390
373,8,8,3,283,612,617,356,141,142,65,65,69,83,13965,34518,55509,112898,58043,48,41,3,0.170,10,1,2,6,0,0,0,48,82,212,206,68,52,20,32,0,0,0,0,0,390
374,9,9,3,0,0,0,0,0,0,0,0,0,0,13881,33816,55945,114813,65600,29,0,27,0.079,446,14,70,59,0,266,36,0,0,0,0,0,0,0,0,0,0,0,0,0,397
375,9,9,3,874,1871,1878,1101,222,652,191,169,231,282,13612,33613,55213,118875,62559,117,79,3,0.185,122,16,25,59,0,4,18,97,214,785,570,212,88,40,96,24,0,0,0,0,391
376,9,9,3,1319,3062,3066,1711,699,619,233,203,426,456,13881,33816,55945,114813,65596,150,99,30,0.079,89,7,18,27,7,13,16,244,329,1680,643,169,239,58,247,399,0,0,0,0,398
377,9,9,3,976,2266,2278,1333,389,587,257,256,262,200,14567,32433,55090,116903,51148,110,115,1,0.104,112,14,41,7,3,44,3,174,318,955,642,188,242,140,220,0,0,0,0,0,400
378,8,8,3,262,533,536,360,100,162,48,54,80,80,11612,33756,53467,128824,64547,52,24,21,0.111,851,216,422,171,2,23,16,37,49,296,111,44,25,12,30,670,146,0,0,0,378
379,8,8,3,146,298,299,200,55,91,27,30,44,44,11612,33756,53467,128824,64547,36,22,10,0.111,2726,160,962,1480,2,73,49,21,34,114,103,26,20,10,11,0,0,0,0,0,378
380,8,8,3,424,864,869,582,162,262,80,87,129,129,11612,33756,53467,128824,64547,32,20,11,0.111,1268,154,713,313,2,52,35,53,35,607,137,38,86,30,35,0,0,0,0,0,378
381,9,9,3,252,601,606,393,18,234,107,74,52,19,14180,31209,53133,111024,34511,495,151,28,0.193,5398,216,770,1123,8,2956,324,30,99,150,209,118,65,30,38,0,0,0,0,0,401
382,8,8,3,1320,3265,3316,1967,437,883,331,339,378,273,14939,34515,54574,117972,52582,111,95,17,0.092,527,14,378,47,0,87,1,243,506,1771,641,154,280,160,273,0,0,0,0,0,379
383,8,8,3,684,1695,1700,1020,228,457,173,176,195,140,14939,34515,54574,117972,52582,60,40,11,0.092,146,28,100,17,0,1,0,131,286,814,366,105,168,80,165,357,0,0,0,0,379
384,8,8,3,1178,2984,2997,1532,33,1146,401,345,268,164,14403,34393,53327,121553,44038,59,43,17,0.083,207,42,81,70,0,13,2,233,384,1746,491,144,237,65,279,0,0,0,0,0,380
385,8,8,3,471,1117,1128,664,113,358,94,122,110,145,14190,34023,56363,108758,58376,47,46,2,0.102,337,12,127,32,0,132,35,77,136,500,307,108,123,35,88,0,0,0,0,0,374
386,8,8,3,423,1004,1011,595,106,318,84,109,99,130,14190,34023,56363,108758,58376,46,45,2,0.102,217,23,73,29,0,76,16,79,105,568,196,64,112,31,71,0,0,0,0,0,374
387,8,8,3,375,890,896,527,91,284,74,98,88,115,14190,34023,56363,108758,58376,74,43,32,0.102,790,24,243,130,1,334,58,71,124,470,181,51,80,23,37,0,0,0,0,0,374
388,8,8,3,233,599,599,266,171,62,65,28,44,97,10970,33550,55747,141193,76419,51,19,32,0.306,970,445,181,241,0,81,21,30,83,221,157,108,68,25,20,0,0,0,0,0,389
389,8,8,3,232,559,569,287,150,82,58,51,43,79,13637,33553,56071,128861,65370,28,23,4,0.208,976,29,499,260,0,178,10,23,65,271,140,69,79,7,33,0,0,0,0,0,381
390,8,8,3,836,2018,2039,1034,540,296,209,186,156,286,13637,33553,56071,128861,65370,109,105,4,0.208,310,131,167,5,0,7,0,148,309,807,527,246,191,57,79,0,0,0,0,0,381
391,8,8,3,717,1844,1875,820,533,184,199,84,134,300,10970,33550,55747,141193,76419,192,128,45,0.306,992,172,180,443,12,149,35,106,297,433,494,545,123,58,59,970,0,0,0,0,389
392,8,8,3,436,891,901,561,143,294,91,105,120,120,13582,33675,54391,114803,57764,144,64,79,0.148,1022,77,178,313,5,359,90,73,131,381,197,119,54,28,38,0,0,0,0,0,377
393,8,8,3,229,589,593,247,214,15,38,37,54,100,12891,34985,54141,138928,81175,186,97,52,0.390,2964,38,1795,1130,1,0,0,33,98,109,163,191,60,28,14,433,0,0,0,0,383
394,8,8,3,927,2384,2421,1059,683,242,258,109,172,388,10970,33550,55747,141193,76419,323,273,18,0.306,102,0,2,17,69,14,2,130,505,446,831,510,264,121,113,0,155,0,0,0,389
395,9,9,3,1527,3267,3291,1925,383,1144,333,297,402,494,13612,33613,55213,118875,62559,134,109,20,0.185,1172,331,298,283,0,43,218,214,341,1748,665,325,145,112,163,0,0,0,0,0,391
396,9,9,3,999,2135,2155,1259,256,742,218,195,264,323,13612,33613,55213,118875,62559,123,92,14,0.185,332,132,37,64,0,15,85,148,210,852,514,431,114,46,78,0,0,0,0,0,391
397,8,8,3,796,1922,1922,984,511,285,199,176,149,272,13637,33553,56071,128861,65370,127,111,9,0.208,684,72,448,110,4,46,3,131,294,718,531,248,202,65,73,271,0,0,0,0,381
398,8,8,3,606,1463,1484,750,392,215,151,135,113,208,13637,33553,56071,128861,65370,158,157,1,0.208,10,0,1,0,6,3,0,108,311,359,439,265,151,50,39,0,0,0,0,0,381
399,8,8,3,517,1330,1347,556,484,33,87,83,122,226,12891,34985,54141,138928,81175,144,137,7,0.390,505,261,59,184,1,0,0,80,316,294,391,267,127,48,38,450,1577,0,0,0,383
400,8,8,3,1520,3734,3750,2067,402,1119,504,291,388,338,12874,33617,54488,125480,52664,111,53,53,0.144,664,42,182,319,3,112,7,280,663,1599,817,391,424,195,320,0,0,0,0,0,372
401,8,8,3,139,343,348,202,75,64,36,27,37,37,12957,34390,56459,118137,56936,112,33,74,0.171,1566,61,37,1157,7,243,62,24,51,117,105,54,28,18,21,580,0,0,0,0,376
402,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,45,0,35,0.104,1220,39,227,155,0,654,145,0,0,0,0,0,0,0,0,0,0,0,0,0,399
403,9,9,3,0,0,0,0,0,0,0,0,0,0,13881,33816,55945,114813,65600,103,0,97,0.079,1777,56,276,234,14,1051,146,0,0,0,0,0,0,0,0,0,0,0,0,0,397
404,8,8,3,179,366,370,231,60,119,36,43,50,50,13582,33675,54391,114803,57764,42,21,15,0.148,88,5,26,41,5,8,2,21,40,188,82,40,22,7,25,0,0,0,0,0,377
405,9,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4222,122,0,119,0.104,3235,110,1070,334,64,1441,215,0,0,0,0,0,0,0,0,0,0,0,0,0,399
406,9,9,3,1046,2426,2431,1358,547,499,184,161,339,363,13881,33816,55945,114813,65600,117,62,69,0.079,1433,46,461,179,12,628,108,284,287,1285,470,105,153,45,174,0,0,0,0,0,397
407,8,8,3,725,1480,1480,930,237,487,150,173,200,201,13582,33675,54391,114803,57764,74,60,15,0.148,259,38,79,75,5,42,20,63,136,637,467,177,109,34,109,0,0,0,0,0,377
408,8,8,3,1676,4144,4186,2434,912,764,441,340,452,445,12957,34390,56459,118137,56936,265,224,26,0.171,376,28,9,266,7,52,14,262,564,1683,1078,598,375,199,247,470,0,0,0,0,376
409,8,8,3,1218,3009,3023,1635,932,285,328,133,306,451,12386,34927,56699,115789,64342,266,190,61,0.189,850,493,68,162,4,85,38,240,428,904,894,558,273,81,104,636,0,0,0,0,373
410,8,8,3,2267,4582,4642,2278,602,1666,844,441,514,468,12005,33280,54863,112220,46548,150,131,6,0.268,219,19,138,62,0,0,0,284,518,1799,1078,964,258,95,303,0,0,0,0,0,375
411,8,8,3,942,2386,2397,1225,27,916,321,276,214,132,14403,34393,53327,121553,44038,70,38,2,0.083,40,1,4,21,0,12,2,220,406,1291,367,114,177,87,245,0,0,0,0,0,380
412,8,8,3,495,1223,1228,737,164,330,124,127,141,102,14939,34515,54574,117972,52582,69,58,5,0.092,58,4,50,2,2,0,0,107,123,513,374,111,115,61,135,0,0,0,0,0,379
413,8,8,3,203,413,413,278,76,127,38,41,62,61,11612,33756,53467,128824,64547,47,16,26,0.111,1117,286,558,218,2,32,21,20,34,215,91,52,37,8,36,0,0,0,0,0,378
414,8,8,3,691,1493,1510,869,345,346,160,158,170,203,13965,34518,55509,112898,58043,108,66,19,0.170,55,10,8,33,0,4,0,99,212,754,307,138,115,50,82,425,0,0,0,0,390
415,9,9,3,1,2,2,2,1,0,0,0,0,0,13881,33816,55945,114813,65596,66,1,65,0.079,1405,57,296,155,7,777,113,0,0,2,1,0,0,0,0,0,0,0,0,0,398
416,8,8,3,1041,2124,2145,1338,342,699,215,251,287,289,13582,33675,54391,114803,57764,127,109,18,0.148,86,24,27,14,5,12,3,100,190,1114,529,212,125,44,157,205,0,0,0,0,377
417,9,9,3,971,2254,2274,1326,380,591,255,255,261,198,14567,32433,55090,116903,51148,137,137,5,0.104,307,34,47,219,3,3,0,155,298,1128,543,151,188,109,188,123,0,0,0,0,400
418,8,8,3,185,378,378,253,70,117,35,38,56,56,11612,33756,53467,128824,64547,24,21,3,0.111,163,17,32,93,2,14,5,21,46,187,93,30,20,12,30,0,0,0,0,0,378
419,8,8,3,141,286,314,194,54,87,26,29,43,44,11612,33756,53467,128824,64547,31,27,5,0.111,656,44,455,120,2,20,14,18,46,92,115,45,13,11,19,0,0,0,0,0,378
420,8,8,3,1230,2201,2358,2187,30,1200,496,221,257,257,11311,30929,53987,116519,45737,64,72,0,0.048,108,0,0,95,0,0,13,221,271,1243,408,214,1160,500,332,42,0,0,0,0,355
421,8,8,3,0,0,0,0,0,0,0,0,0,0,14454,36054,55855,167885,133723,117,0,44,0.285,6487,382,3076,15,15,2515,484,0,0,0,0,0,0,0,0,0,0,0,0,0,349
422,8,8,3,12,31,32,14,11,1,1,1,2,9,14454,36054,55855,167885,133723,58,0,22,0.285,2953,149,2094,15,15,571,109,5,0,21,2,4,2,1,0,0,0,0,0,0,349
423,8,8,3,1,2,2,1,1,0,0,0,0,0,14454,36054,55855,167885,133723,73,10,24,0.285,3253,191,1994,23,15,861,169,0,0,0,1,1,0,0,0,0,0,0,0,0,349
424,8,8,3,30,52,52,53,1,28,11,5,6,6,11311,30929,53987,116519,45737,25,1,24,0.048,7966,328,5324,0,0,1888,426,0,10,10,24,8,2,1,0,0,1698,0,0,0,355
425,8,8,3,0,0,0,0,0,0,0,0,0,0,12072,33548,55466,145084,81729,57,2,30,0.224,135,0,1,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,351
426,8,8,3,19,35,35,20,5,14,6,3,3,5,11926,34117,55306,135875,61290,6,3,3,0.318,643,245,243,72,1,64,18,0,1,0,15,19,2,1,6,0,0,0,0,0,356
427,8,8,3,65,119,120,68,17,48,22,10,13,20,11926,34117,55306,135875,61290,6,3,3,0.318,606,181,238,87,1,77,22,3,3,72,26,17,32,16,12,0,0,0,0,0,356
428,8,8,3,228,312,533,19,3,225,80,80,26,42,15711,33102,49550,219642,63320,50,45,14,0.052,997,11,72,896,0,13,4,2,36,475,12,7,2,0,134,0,0,2968,2376,592,354
429,8,8,3,0,0,0,0,0,0,0,0,0,0,11311,30929,53987,116519,45737,53,0,53,0.048,4445,2498,1800,16,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,355
430,8,8,3,42,76,77,44,12,30,15,7,8,13,11926,34117,55306,135875,61290,8,1,3,0.318,890,138,366,159,1,187,38,1,8,42,17,11,2,2,3,0,0,0,0,0,356
431,8,8,3,4,7,8,4,1,2,1,1,1,1,11926,34117,55306,135875,61290,8,1,4,0.318,879,203,357,149,1,132,36,0,0,1,4,4,1,0,1,0,0,0,0,0,356
432,8,8,3,11,20,23,11,3,7,4,2,2,3,11926,34117,55306,135875,61290,5,2,3,0.318,312,170,108,15,1,13,4,0,1,0,10,11,1,1,4,0,0,0,0,0,356
433,8,8,3,30,55,55,31,8,22,11,5,6,9,11926,34117,55306,135875,61290,6,3,2,0.318,624,109,230,202,1,60,22,0,1,7,26,22,3,1,26,0,0,0,0,0,356
434,8,8,3,30,55,54,31,9,21,11,5,6,10,11926,34117,55306,135875,61290,7,5,2,0.318,595,130,243,104,1,91,25,0,3,10,16,25,3,1,53,0,0,0,0,0,356
435,8,8,3,24,44,51,25,7,17,8,4,4,7,11926,34117,55306,135875,61290,6,3,3,0.318,297,109,112,34,1,31,9,1,3,5,20,23,7,31,5,0,0,0,0,0,356
436,8,8,3,363,661,749,376,99,264,128,56,69,110,11926,34117,55306,135875,61290,12,5,6,0.318,1533,130,789,288,1,254,70,4,7,42,48,649,80,32,105,0,0,0,0,0,356
437,8,8,3,93,169,200,96,25,67,33,14,18,28,11926,34117,55306,135875,61290,12,2,4,0.318,749,113,313,154,1,131,37,0,3,40,63,94,6,4,48,0,0,0,0,0,356
438,9,9,3,1,2,2,2,0,1,0,0,0,0,14180,31209,53133,111024,34511,797,3,92,0.193,1221,74,556,167,8,373,43,0,0,0,1,0,1,0,1,0,0,0,0,0,401
439,8,8,3,248,617,624,319,167,81,62,42,64,81,11516,35444,58592,134289,68055,48,46,1,0.249,23,4,12,3,0,4,0,38,147,147,185,106,70,28,35,0,0,0,0,0,363
440,8,8,3,22,50,50,28,13,9,5,4,4,10,12072,33548,55466,145084,81729,13,2,6,0.224,749,113,366,34,1,166,69,2,6,21,15,6,4,2,1,0,0,0,0,0,351
441,8,8,3,119,269,279,149,72,47,26,19,22,52,12072,33548,55466,145084,81729,9,1,5,0.224,140,18,72,6,1,30,12,15,32,114,87,32,14,7,8,0,0,0,0,0,351
442,8,8,3,32,72,73,40,18,14,6,5,5,14,12072,33548,55466,145084,81729,14,2,8,0.224,1104,185,543,74,1,214,88,4,8,42,9,9,5,3,5,47,0,0,0,0,351
443,8,8,3,98,176,189,175,3,96,39,18,21,21,11311,30929,53987,116519,45737,51,19,34,0.048,14064,613,7501,36,0,5075,839,10,13,144,15,6,26,11,119,16,0,0,0,0,355
444,8,8,3,0,0,0,0,0,0,0,0,0,0,11311,30929,53987,116519,45737,60,0,60,0.048,14611,23,3724,9504,0,1105,256,0,0,0,0,0,0,0,0,0,0,0,0,0,355
445,8,8,3,0,0,0,0,0,0,0,0,0,0,11311,30929,53987,116519,45737,55,34,20,0.048,3698,0,148,3528,7,3,13,0,0,0,0,0,0,0,0,0,0,1936,1550,386,355
446,8,8,3,0,0,0,0,0,0,0,0,0,0,11311,30929,53987,116519,45737,22,14,7,0.048,30,0,0,0,7,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,355
447,8,8,3,14,25,27,25,0,14,6,3,3,3,11311,30929,53987,116519,45737,72,45,25,0.048,3472,0,79,3377,3,0,13,2,9,7,6,3,3,2,1,0,0,2945,2358,587,355
